voltmean_24h;rotatemean_24h;pressuremean_24h;vibrationmean_24h;voltsd_24h;rotatesd_24h;pressuresd_24h;vibrationsd_24h;voltmean_5d;rotatemean_5d;pressuremean_5d;vibrationmean_5d;voltsd_5d;rotatesd_5d;pressuresd_5d;vibrationsd_5d
167.69;462.49;104.01;40.34;13.81;56.85;11.12;5.17;171.48;447.24;99.95;39.84;3.07;11.83;2.46;1.55
173.05;453.13;99.95;38.48;13.43;36.95;6.65;3.40;172.30;446.52;99.88;39.15;2.75;11.19;2.46;1.09
166.95;458.45;97.80;40.95;14.88;52.42;10.33;4.43;171.20;449.52;99.91;39.30;3.63;12.13;2.42;1.30
170.89;450.59;101.02;39.05;17.89;47.35;11.28;5.31;170.37;452.52;100.40;39.33;2.94;9.36;2.33;1.29
166.70;436.33;96.85;39.01;15.38;44.93;11.09;6.58;169.06;452.20;99.92;39.57;2.79;10.00;2.82;1.03
166.89;457.92;103.80;40.42;14.40;48.79;10.22;5.03;168.90;451.28;99.88;39.58;2.91;8.98;2.75;1.05
169.84;443.45;102.94;40.65;15.90;54.19;10.39;5.77;168.26;449.35;100.48;40.02;1.96;9.51;3.07;0.92
177.00;449.66;103.49;40.53;16.37;37.67;11.33;6.25;170.27;447.59;101.62;39.93;4.18;8.12;2.88;0.83
168.04;454.44;100.93;41.19;11.98;43.54;11.99;3.96;169.70;448.36;101.60;40.36;4.27;8.64;2.88;0.81
169.31;443.29;100.78;39.04;16.07;58.02;10.08;4.66;170.22;449.75;102.39;40.37;3.96;6.53;1.43;0.80
170.72;434.18;99.43;40.92;14.02;45.32;9.55;4.53;170.98;445.00;101.51;40.47;3.50;7.64;1.67;0.84
173.15;445.94;99.79;40.92;14.29;65.22;10.45;5.17;171.65;445.50;100.88;40.52;3.55;7.59;1.59;0.86
174.43;447.49;100.62;40.81;13.28;52.10;8.57;5.24;171.13;445.07;100.31;40.58;2.65;7.35;0.66;0.87
176.35;456.33;99.62;38.83;12.53;52.73;12.13;4.96;172.79;445.45;100.05;40.10;2.82;7.98;0.61;1.07
163.69;443.33;100.85;38.39;13.99;60.08;10.61;5.63;171.67;445.45;100.06;39.97;4.91;7.97;0.63;1.25
172.97;455.28;97.10;39.18;15.35;51.62;10.11;5.02;172.12;449.67;99.60;39.63;4.90;5.80;1.49;1.17
172.50;433.75;97.92;38.69;11.35;48.91;10.35;4.64;171.99;447.23;99.22;39.18;4.88;9.28;1.66;0.96
170.52;457.36;102.05;40.12;12.42;29.84;8.11;6.08;171.21;449.21;99.51;39.04;4.70;10.34;2.04;0.67
170.56;453.69;100.97;40.85;14.40;70.56;13.05;4.15;170.05;448.68;99.78;39.45;3.72;9.94;2.14;1.02
172.74;447.92;98.04;40.76;14.40;61.42;10.15;5.51;171.86;449.60;99.22;39.92;1.21;9.53;2.16;0.96
170.84;450.00;98.40;37.78;12.67;46.85;9.11;5.42;171.43;448.54;99.48;39.64;1.09;9.02;1.90;1.35
171.38;448.73;102.43;38.84;16.52;60.86;8.88;4.77;171.21;451.54;100.38;39.67;0.92;3.93;2.04;1.33
179.83;452.76;100.33;39.49;16.02;50.82;7.67;4.20;173.07;450.62;100.04;39.54;3.87;2.51;1.83;1.30
191.85;449.40;98.52;39.06;14.29;53.65;9.91;4.11;177.33;449.76;99.54;39.18;8.89;1.85;1.84;1.08
185.36;437.63;103.42;41.23;15.94;42.17;13.11;3.68;179.85;447.70;100.62;39.28;9.05;5.83;2.27;1.26
168.87;451.37;100.88;40.20;15.12;53.27;10.81;5.77;179.46;447.98;101.12;39.76;9.57;6.00;1.90;0.97
166.03;443.30;102.55;39.56;15.21;64.58;8.81;4.04;178.39;446.89;101.14;39.91;10.90;6.31;1.92;0.84
173.13;451.50;98.76;38.89;13.62;38.24;7.96;4.31;177.05;446.64;100.83;39.79;11.09;6.04;2.20;0.95
172.32;456.64;101.37;39.93;16.28;59.92;10.82;5.41;173.14;448.09;101.40;39.96;7.40;7.55;1.78;0.86
172.90;434.97;101.80;40.42;14.43;58.78;9.77;4.12;170.65;447.56;101.07;39.80;3.10;8.50;1.43;0.60
163.89;445.50;98.68;41.33;11.53;51.89;9.97;5.73;169.65;446.38;100.63;40.03;4.36;8.25;1.80;0.92
167.26;450.12;101.34;38.82;10.74;64.06;9.04;5.05;169.90;447.75;100.39;39.88;4.13;8.17;1.54;1.06
170.65;432.00;102.19;39.97;15.86;40.44;12.80;4.00;169.40;443.85;101.08;40.09;3.78;10.31;1.38;0.91
172.36;386.83;99.54;48.06;11.33;72.49;13.88;8.19;169.41;429.88;100.71;41.72;3.79;25.18;1.52;3.66
166.02;380.13;97.37;51.72;16.41;52.03;9.09;4.16;168.04;418.92;99.82;43.98;3.44;33.11;1.96;5.62
168.37;423.47;98.02;42.93;14.82;66.41;9.17;6.31;168.93;414.51;99.69;44.30;2.56;30.01;2.07;5.48
181.06;445.44;97.91;41.22;21.55;48.80;9.31;5.88;173.16;450.30;100.45;39.91;5.22;5.19;3.17;1.51
193.31;480.23;97.65;39.11;14.23;54.28;10.92;4.37;178.51;454.63;100.21;39.99;9.07;14.50;3.36;1.44
170.84;443.43;95.57;39.67;14.30;46.10;10.34;6.02;178.15;454.00;99.78;40.23;9.39;15.00;3.86;1.21
168.70;450.79;101.42;39.25;16.14;48.79;9.05;4.09;177.10;453.89;99.23;39.72;10.23;15.02;3.22;0.87
170.19;440.97;97.40;40.56;15.29;50.28;7.97;4.34;176.82;452.17;97.99;39.96;10.44;16.10;2.13;0.90
166.74;451.45;102.16;40.02;15.29;43.61;12.75;5.81;173.96;453.37;98.84;39.72;10.94;15.69;2.83;0.59
172.83;461.12;100.94;39.96;11.94;40.93;11.12;3.64;169.86;449.55;99.50;39.89;2.29;7.91;2.86;0.48
177.28;453.54;96.83;39.16;12.69;50.03;10.54;4.73;171.15;451.57;99.75;39.79;4.09;7.21;2.45;0.58
164.57;462.59;98.20;40.10;12.65;52.16;9.70;3.84;170.32;453.93;99.11;39.96;5.02;8.68;2.33;0.50
173.30;455.40;99.47;39.59;16.33;54.44;12.17;7.39;170.95;456.82;99.52;39.77;5.19;4.83;2.12;0.39
168.24;457.67;102.00;40.26;15.05;48.72;8.92;5.11;171.25;458.06;99.49;39.81;4.92;3.79;2.07;0.44
169.59;452.60;101.07;40.28;15.80;40.14;10.44;5.16;170.60;456.36;99.52;39.88;4.87;3.99;2.09;0.49
168.31;466.16;98.20;38.62;13.90;50.70;9.12;5.78;168.80;458.88;99.79;39.77;3.13;5.47;1.71;0.70
173.99;451.62;102.07;38.91;15.44;47.12;7.88;4.48;170.68;456.69;100.56;39.53;2.76;5.80;1.69;0.76
165.89;439.60;119.87;39.58;17.34;58.29;17.58;4.91;169.20;453.53;104.64;39.53;2.99;9.69;8.65;0.76
168.43;441.72;124.61;39.51;13.34;46.03;9.39;5.35;169.24;450.34;109.16;39.38;2.98;10.57;12.14;0.65
174.71;451.94;107.78;38.10;14.85;59.16;15.50;4.09;170.26;450.21;110.51;38.94;3.87;10.54;11.37;0.62
167.53;456.36;101.85;40.93;14.11;56.15;9.83;5.05;170.11;448.25;111.24;39.41;3.98;7.22;10.46;1.04
167.07;444.62;100.93;41.02;14.39;52.76;8.58;3.85;168.72;446.85;111.01;39.83;3.47;7.08;10.72;1.20
173.74;449.05;101.86;39.62;13.76;50.79;7.78;6.14;170.30;448.74;107.41;39.84;3.63;5.80;10.00;1.20
167.28;452.80;99.21;39.59;15.22;64.24;9.32;4.73;170.06;450.96;102.33;39.85;3.81;4.40;3.23;1.19
171.74;453.90;102.19;39.38;14.94;44.28;9.40;5.45;169.47;451.35;101.21;40.11;3.07;4.59;1.21;0.80
168.16;458.84;99.41;40.63;11.37;39.13;9.16;6.03;169.60;451.84;100.72;40.05;2.98;5.34;1.37;0.73
168.72;454.56;102.25;39.52;13.93;52.03;9.11;4.85;169.93;453.83;100.99;39.75;2.71;3.52;1.54;0.50
187.00;458.92;99.04;46.73;19.35;46.96;10.86;5.62;172.58;455.80;100.42;41.17;8.23;2.88;1.65;3.15
185.91;440.95;102.01;50.40;16.43;50.18;9.83;4.47;176.31;453.43;100.98;43.33;9.37;7.36;1.61;4.98
181.23;457.45;99.11;44.69;16.14;50.40;9.01;7.33;178.21;454.14;100.37;44.39;9.17;7.58;1.62;4.46
170.35;472.24;99.20;40.83;15.41;48.61;10.10;5.67;172.15;451.80;100.58;43.90;1.99;12.12;1.45;4.44
176.51;448.82;98.15;39.13;16.00;48.98;10.49;4.94;173.19;452.30;99.63;43.86;2.67;11.89;1.07;4.50
167.09;436.68;101.06;38.57;12.68;44.58;9.37;4.95;172.47;451.31;99.83;42.12;3.77;13.14;1.25;4.53
170.18;449.10;99.57;41.42;15.68;56.43;11.62;5.09;171.82;450.54;99.81;40.44;3.85;13.13;1.26;1.55
168.53;460.77;105.12;41.00;12.34;44.98;15.02;5.94;170.53;453.52;100.62;40.19;3.60;13.49;2.72;1.26
170.13;446.55;122.44;38.99;21.66;63.69;8.51;4.74;170.49;448.39;105.27;39.82;3.60;8.58;9.94;1.29
166.82;435.68;122.15;38.54;12.10;51.92;13.57;4.05;168.55;445.76;110.07;39.70;1.60;10.26;11.34;1.39
172.76;450.48;94.68;41.59;16.90;52.82;8.08;4.90;169.68;448.52;108.79;40.31;2.20;8.99;12.87;1.43
170.50;451.07;101.77;40.05;16.53;56.31;7.74;4.52;169.75;448.91;109.23;40.03;2.22;9.06;12.51;1.29
165.93;468.37;97.85;40.11;13.97;46.35;10.77;4.47;169.23;450.43;107.78;39.86;2.81;11.78;13.49;1.18
166.84;450.15;95.18;40.42;11.81;36.42;8.07;4.15;168.57;451.15;102.33;40.14;2.93;11.59;11.43;1.09
170.87;448.54;102.67;38.76;18.78;61.06;9.35;5.52;169.38;453.72;98.43;40.18;2.88;8.25;3.68;1.01
163.85;434.21;100.30;39.77;15.82;49.49;13.78;5.22;167.60;450.47;99.56;39.82;3.02;12.14;3.05;0.64
167.40;467.38;99.41;41.65;13.28;47.11;9.25;5.95;166.98;453.73;99.08;40.14;2.56;14.33;2.79;1.05
168.44;448.67;98.72;41.51;17.04;43.89;6.74;4.70;167.48;449.79;99.26;40.42;2.55;11.78;2.72;1.21
166.43;453.70;101.86;39.22;14.95;38.98;10.30;5.19;167.40;450.50;100.59;40.18;2.58;11.91;1.65;1.33
165.50;426.63;99.15;39.73;19.04;50.63;11.35;3.75;166.32;446.12;99.89;40.38;1.77;16.10;1.25;1.12
165.81;447.81;95.09;40.12;13.94;57.01;12.04;5.29;166.72;448.84;98.85;40.44;1.21;14.67;2.43;1.08
167.52;450.27;100.19;40.25;18.88;55.39;9.31;4.20;166.74;445.42;99.00;40.16;1.22;10.74;2.50;0.85
169.87;448.27;103.35;40.42;14.64;56.76;12.35;4.66;167.03;445.34;99.93;39.95;1.77;10.71;3.15;0.48
169.25;431.87;102.13;40.54;13.50;51.45;10.90;5.06;167.59;440.97;99.98;40.21;1.97;10.90;3.19;0.32
173.18;434.92;96.36;39.09;11.80;51.77;9.82;4.91;169.13;442.63;99.42;40.08;2.77;8.55;3.59;0.58
163.64;469.62;101.16;39.71;15.19;65.67;8.66;4.94;168.69;446.99;100.64;40.00;3.49;14.99;2.67;0.60
166.05;452.38;102.19;40.90;11.80;44.46;8.72;3.13;168.40;447.41;101.04;40.13;3.67;15.13;2.73;0.73
166.90;447.79;99.32;38.99;16.72;46.90;9.32;4.35;167.80;447.31;100.23;39.85;3.61;15.13;2.46;0.85
175.98;460.89;99.54;38.64;15.63;52.47;8.48;5.50;169.15;453.12;99.71;39.47;5.20;13.16;2.22;0.89
174.70;444.96;97.71;39.42;15.14;50.91;9.13;4.40;169.46;455.13;99.98;39.53;5.52;10.10;1.74;0.87
170.36;464.14;104.94;39.43;15.11;50.63;8.55;3.95;170.80;454.03;100.74;39.48;4.47;8.26;2.84;0.86
169.16;442.75;97.56;39.60;18.44;54.24;7.31;4.53;171.42;452.11;99.81;39.22;3.82;9.74;3.00;0.39
175.02;438.08;99.06;39.69;14.29;48.20;12.29;4.57;173.05;450.16;99.76;39.36;3.06;11.60;3.02;0.42
169.69;368.75;98.46;37.95;16.33;59.89;12.69;4.82;171.79;431.74;99.55;39.22;2.84;36.59;3.07;0.72
173.95;371.43;98.51;39.79;19.63;50.88;9.28;5.20;171.64;417.03;99.71;39.29;2.66;43.97;2.97;0.76
170.50;447.10;97.49;39.80;12.94;45.29;10.28;4.87;171.66;413.62;98.22;39.36;2.65;39.88;0.67;0.80
173.02;458.63;99.40;38.28;17.29;60.32;11.16;4.48;172.44;416.80;98.58;39.10;2.27;43.27;0.73;0.91
167.75;454.82;96.12;39.93;17.21;44.08;10.08;4.89;170.98;420.15;98.00;39.15;2.51;45.89;1.25;0.95
167.85;441.63;102.09;40.55;19.57;48.02;11.08;4.50;170.61;434.72;98.72;39.67;2.86;35.99;2.24;0.84
175.23;458.64;97.62;40.51;15.37;62.98;9.20;5.11;170.87;452.16;98.55;39.81;3.26;7.54;2.30;0.92
171.10;455.18;100.54;42.09;16.39;57.28;9.83;5.42;170.99;453.78;99.15;40.27;3.26;7.03;2.35;1.37
173.43;448.57;101.50;39.44;12.86;53.65;11.61;6.25;171.07;451.77;99.57;40.50;3.33;6.73;2.58;1.00
165.86;438.26;99.59;38.14;14.20;50.66;9.34;5.12;170.69;448.45;100.27;40.15;3.87;8.65;1.76;1.46
174.10;466.68;102.16;40.42;14.34;49.38;9.73;4.67;171.94;453.47;100.28;40.12;3.72;10.72;1.78;1.46
171.83;438.39;98.93;42.97;18.06;53.66;10.82;5.64;171.26;449.42;100.54;40.61;3.25;12.02;1.33;1.95
164.93;436.61;101.69;39.20;15.86;42.70;9.91;3.99;170.03;445.70;100.77;40.04;4.32;12.65;1.42;1.83
166.51;468.13;99.88;39.33;15.02;39.90;10.29;5.42;168.64;449.61;100.45;40.01;4.06;16.27;1.40;1.84
166.85;453.33;100.12;39.40;14.98;56.52;11.70;5.62;168.84;452.63;100.56;40.27;3.91;14.98;1.34;1.59
173.97;429.90;98.06;42.62;13.33;49.55;8.32;5.45;168.82;445.27;99.74;40.71;3.87;15.38;1.36;1.92
174.07;460.79;100.89;40.20;13.68;47.90;10.67;4.31;169.27;449.75;100.13;40.15;4.40;16.12;1.35;1.44
166.11;451.45;98.70;39.43;14.69;56.38;9.75;5.25;169.50;452.72;99.53;40.20;4.13;14.36;1.13;1.40
167.49;464.37;94.82;40.52;14.43;47.82;10.29;4.31;169.70;451.97;98.52;40.44;3.98;13.42;2.35;1.32
165.49;449.45;99.79;39.94;15.35;48.91;9.44;5.50;169.43;451.19;98.45;40.54;4.26;13.44;2.30;1.23
167.82;444.10;101.90;39.03;12.76;45.65;11.64;3.92;168.20;454.03;99.22;39.83;3.42;8.35;2.73;0.60
169.40;442.72;100.93;39.56;18.27;56.92;9.45;5.48;167.26;450.42;99.23;39.70;1.53;8.60;2.74;0.57
172.19;458.73;99.81;41.69;13.72;41.51;8.80;4.17;168.48;451.87;99.45;40.15;2.50;9.40;2.73;1.02
171.56;458.28;97.19;40.67;13.71;61.36;13.91;4.77;169.29;450.65;99.93;40.18;2.75;7.60;1.76;1.03
169.45;431.62;99.06;38.65;15.12;47.23;10.49;5.10;170.08;447.09;99.78;39.92;1.78;11.49;1.80;1.25
168.64;457.72;97.47;39.98;16.33;47.98;10.49;4.72;170.25;449.81;98.89;40.11;1.54;12.20;1.58;1.15
176.34;465.98;100.45;37.23;14.16;45.11;8.76;3.70;171.64;454.47;98.80;39.64;3.01;13.21;1.43;1.74
169.65;430.83;102.05;40.29;14.70;49.14;10.12;5.08;171.13;448.89;99.25;39.36;3.10;16.45;2.05;1.42
170.67;449.66;102.49;39.06;16.50;42.81;10.08;6.27;170.95;447.16;100.30;39.04;3.10;15.65;2.09;1.21
166.44;455.10;99.60;40.24;18.82;37.26;10.39;4.46;170.35;451.86;100.41;39.36;3.70;13.14;2.02;1.29
168.16;432.33;98.45;41.10;16.03;53.21;9.68;4.94;170.25;446.78;100.61;39.59;3.76;15.08;1.68;1.51
190.59;464.62;98.47;39.45;17.57;52.07;10.56;4.47;173.10;446.51;100.21;40.03;9.91;14.65;1.94;0.80
192.27;447.85;101.20;39.60;13.93;42.70;10.73;3.99;177.62;449.91;100.04;39.89;12.71;11.80;1.77;0.80
172.98;458.59;98.39;40.90;18.98;51.81;10.58;4.68;178.09;451.70;99.22;40.26;12.43;12.41;1.22;0.74
171.69;443.73;95.91;44.19;14.58;54.03;9.13;5.44;179.14;449.42;98.48;41.05;11.37;12.67;1.87;1.91
169.08;446.65;101.77;38.47;15.74;54.51;8.12;3.33;179.32;452.29;99.15;40.52;11.16;8.90;2.38;2.22
169.45;475.87;102.19;38.12;13.90;44.56;9.34;4.88;175.10;454.54;99.89;40.25;9.73;13.18;2.67;2.45
174.72;456.82;102.72;42.19;13.24;43.71;9.97;3.63;171.59;456.33;100.20;40.77;2.38;12.64;2.93;2.55
168.48;455.86;102.30;40.64;17.48;34.04;10.57;4.35;170.69;455.78;100.98;40.72;2.56;12.58;2.85;2.55
167.36;424.70;98.35;42.41;14.69;53.26;9.35;4.81;169.82;451.98;101.47;40.36;2.85;18.58;1.78;2.01
167.91;427.58;101.56;41.44;16.88;45.78;11.03;3.97;169.58;448.16;101.42;40.96;2.97;21.66;1.77;1.73
169.97;432.06;99.08;39.78;12.30;53.71;6.76;5.04;169.69;439.40;100.80;41.29;2.98;15.68;1.97;1.09
170.96;437.52;96.38;47.19;15.06;48.63;8.63;6.77;168.93;435.54;99.53;42.29;1.49;12.35;2.42;2.91
168.91;452.33;98.55;49.30;14.65;31.38;8.68;4.01;169.02;434.84;98.78;44.02;1.47;10.91;1.86;4.04
165.56;461.65;95.88;43.91;15.30;39.86;9.78;6.97;168.66;442.23;98.29;44.32;2.08;14.31;2.28;3.94
170.62;447.52;100.24;39.43;10.53;50.37;12.38;4.60;178.81;447.63;100.71;39.78;11.27;9.98;2.82;0.61
168.55;455.36;96.37;40.04;11.56;60.00;6.81;4.74;179.21;450.06;99.34;39.98;10.75;10.11;2.95;0.45
171.83;435.75;99.54;41.27;13.33;47.66;11.93;4.16;175.51;444.25;98.87;40.23;9.02;7.55;2.62;0.74
172.98;446.87;102.06;40.49;13.16;44.17;10.14;5.63;171.91;445.06;100.08;40.38;2.63;7.58;2.36;0.69
174.30;432.31;100.36;41.19;13.91;51.32;9.52;4.32;171.66;443.56;99.72;40.48;2.21;9.40;2.09;0.78
168.34;461.87;101.05;40.55;13.48;44.75;9.62;4.09;171.20;446.43;99.88;40.71;2.66;12.57;2.17;0.51
173.37;447.11;100.55;42.21;12.12;43.19;9.70;4.43;172.17;444.78;100.71;41.14;2.31;11.61;0.93;0.70
177.09;458.14;103.38;37.58;12.78;42.99;10.46;4.25;173.22;449.26;101.48;40.41;3.16;11.57;1.25;1.72
170.03;440.79;97.65;39.91;21.10;47.56;8.57;4.19;172.63;448.04;100.60;40.29;3.48;12.19;2.04;1.74
170.27;459.60;99.78;41.22;15.31;49.57;9.19;4.45;171.82;453.50;100.48;40.30;3.46;9.10;2.07;1.74
165.71;437.98;98.02;38.10;14.69;43.61;7.66;5.85;171.30;448.72;99.88;39.81;4.23;9.85;2.30;1.98
168.84;430.70;97.57;40.02;17.02;51.93;7.72;5.23;170.39;445.44;99.28;39.37;4.16;12.81;2.46;1.50
169.18;440.41;96.38;37.75;12.89;42.83;10.12;5.25;168.81;441.90;97.88;39.40;1.83;10.69;1.23;1.45
167.59;446.80;100.50;41.04;15.12;39.97;9.45;4.47;168.32;443.10;98.45;39.63;1.74;10.87;1.67;1.62
166.46;441.19;98.00;38.52;14.76;51.21;6.32;4.78;167.56;439.42;98.09;39.09;1.49;5.84;1.50;1.39
170.42;453.45;102.41;38.79;17.29;41.59;8.99;5.83;168.50;442.51;98.97;39.23;1.52;8.42;2.44;1.30
167.92;451.04;101.06;41.74;15.47;47.16;10.09;5.84;168.32;446.58;99.67;39.57;1.52;5.79;2.43;1.72
170.38;439.03;99.34;40.89;14.23;47.00;11.59;4.77;168.56;446.30;100.26;40.20;1.77;6.18;1.68;1.45
168.68;442.38;98.43;38.61;16.29;56.43;8.99;5.86;168.77;445.42;99.85;39.71;1.69;6.40;1.85;1.50
166.84;458.32;96.60;39.90;11.86;54.03;8.63;3.66;168.85;448.84;99.57;39.99;1.56;7.97;2.26;1.35
171.67;448.31;101.37;39.86;13.87;56.60;8.22;5.99;169.10;447.81;99.36;40.20;1.93;7.54;1.96;1.18
166.15;445.84;100.49;49.51;15.80;59.80;9.74;3.72;168.74;446.78;99.25;41.76;2.33;7.34;1.85;4.41
166.98;458.91;100.01;51.11;17.67;66.70;10.54;4.45;168.06;450.75;99.38;43.80;2.22;7.48;1.89;5.99
172.54;446.19;99.80;39.52;17.91;49.55;10.07;3.42;168.83;451.51;99.66;43.98;3.02;6.55;1.81;5.81
169.49;465.95;100.73;41.79;15.56;50.26;7.72;3.18;169.37;453.04;100.48;44.36;2.81;8.97;0.62;5.53
167.62;447.94;96.74;41.16;13.64;63.34;10.80;4.08;168.56;452.97;99.56;44.62;2.55;9.03;1.62;5.29
170.16;441.75;100.24;40.66;18.87;46.74;9.92;5.42;169.36;452.15;99.51;42.85;2.21;9.97;1.58;4.69
172.12;441.69;101.66;40.05;14.02;48.89;9.77;4.10;170.39;448.70;99.83;40.64;2.01;10.02;1.86;0.90
170.91;448.21;102.43;39.24;18.77;41.22;11.92;5.77;170.06;449.11;100.36;40.58;1.68;9.94;2.19;0.99
169.52;437.00;97.87;38.84;15.03;48.02;12.01;3.98;170.07;443.32;99.79;39.99;1.67;4.75;2.43;0.96
169.52;453.87;96.87;40.95;16.73;47.03;11.00;4.73;170.45;444.50;99.81;39.95;1.10;6.58;2.39;0.90
166.58;432.09;100.41;41.42;17.70;45.42;12.56;3.22;169.73;442.57;99.85;40.10;2.07;8.67;2.40;1.09
168.85;471.82;97.39;40.32;14.06;47.72;10.53;5.21;169.08;448.60;98.99;40.15;1.58;15.61;2.35;1.10
165.21;453.79;101.92;39.79;13.55;37.28;10.24;2.63;167.94;449.72;98.89;40.26;1.94;15.77;2.17;1.01
167.95;448.37;100.42;39.39;17.00;47.33;8.77;4.90;167.62;451.99;99.40;40.37;1.74;14.22;2.17;0.83
166.38;442.37;100.77;39.42;14.27;41.89;9.51;5.45;166.99;449.69;100.18;40.07;1.42;14.76;1.68;0.84
168.02;438.20;100.48;40.17;14.20;41.62;9.83;5.14;167.28;450.91;100.20;39.82;1.46;13.10;1.68;0.43
187.27;464.88;100.60;39.26;18.60;47.02;7.67;4.08;170.97;449.52;100.84;39.60;9.19;10.43;0.62;0.37
192.12;453.31;101.73;38.87;12.80;55.68;9.25;4.53;176.35;449.43;100.80;39.42;12.32;10.38;0.54;0.47
178.18;452.83;98.47;40.68;16.71;39.89;13.72;4.23;178.40;450.32;100.41;39.68;11.40;10.46;1.19;0.73
165.58;447.33;101.86;39.50;15.72;52.83;8.80;5.92;178.24;451.31;100.63;39.70;11.61;9.72;1.36;0.73
169.46;443.16;101.32;41.07;14.78;42.37;12.47;5.75;178.52;452.30;100.79;39.88;11.31;8.18;1.39;0.95
178.26;454.81;99.07;40.50;13.82;54.70;9.93;4.08;176.72;450.29;100.49;40.12;10.23;4.89;1.60;0.91
168.78;454.71;100.92;40.40;17.62;40.24;9.30;4.19;172.05;450.57;100.33;40.43;5.82;5.14;1.48;0.58
171.24;447.03;96.34;41.27;16.45;60.93;10.08;4.74;170.67;449.41;99.90;40.55;4.71;5.16;2.25;0.69
171.19;464.61;96.56;37.83;14.48;60.52;13.52;4.68;171.79;452.86;98.84;40.21;3.77;8.27;2.34;1.38
170.65;438.67;114.80;41.06;14.81;50.29;17.58;4.93;172.03;451.96;101.54;40.21;3.62;9.70;7.65;1.38
169.33;465.83;129.19;41.26;15.78;36.61;10.44;4.75;170.24;454.17;107.56;40.36;1.12;11.58;14.24;1.46
170.18;442.35;113.50;39.74;11.91;36.57;14.13;6.12;170.52;451.70;110.08;40.23;0.79;12.70;13.88;1.49
169.11;400.79;97.24;39.85;17.95;67.45;10.04;5.55;170.09;442.45;110.26;39.95;0.88;26.40;13.66;1.37
171.68;370.83;99.34;39.94;16.19;39.69;12.52;4.57;170.19;423.69;110.81;40.37;1.04;37.64;13.01;0.73
168.11;408.51;98.99;39.04;13.65;67.31;9.02;5.52;169.68;417.66;107.65;39.96;1.34;37.05;13.70;0.81
177.54;449.40;97.64;39.02;11.84;56.44;10.49;4.99;171.32;414.38;101.34;39.52;3.72;32.11;6.86;0.45
170.85;445.83;97.86;39.38;17.64;47.02;10.42;5.88;171.46;415.07;98.21;39.44;3.68;32.90;0.91;0.44
174.81;462.30;101.77;40.31;15.76;54.96;9.56;3.49;172.60;427.37;99.12;39.54;3.65;37.41;1.65;0.57
169.06;439.69;99.18;38.39;18.72;49.89;9.39;5.41;172.07;441.15;99.09;39.23;3.99;20.03;1.65;0.70
170.45;449.51;98.64;40.69;11.54;53.54;7.02;6.32;172.54;449.35;99.02;39.56;3.52;8.27;1.66;0.94
170.66;443.57;97.60;40.16;8.92;50.96;12.06;4.07;171.17;448.18;99.01;39.78;2.16;8.66;1.67;0.91
167.08;454.54;103.55;38.45;18.34;50.74;8.69;4.27;170.41;449.92;100.15;39.60;2.84;8.94;2.44;1.09
168.89;447.17;102.90;40.31;15.30;41.18;7.27;4.82;169.23;446.90;100.38;39.60;1.44;5.66;2.67;1.10
168.72;460.65;101.46;40.24;13.16;43.78;10.68;5.53;169.16;451.09;100.83;39.97;1.46;6.66;2.61;0.87
175.58;442.42;98.89;39.17;15.93;54.06;7.49;5.41;170.19;449.67;100.88;39.67;3.27;7.75;2.56;0.82
171.65;448.96;98.88;40.19;13.13;40.02;10.35;4.54;170.38;450.75;101.14;39.67;3.34;7.03;2.19;0.83
162.44;470.64;102.38;39.57;9.42;53.06;10.91;5.40;169.46;453.97;100.90;39.90;4.81;11.48;1.91;0.51
170.37;446.61;98.81;40.45;16.28;60.31;11.17;5.34;169.75;453.86;100.09;39.92;4.81;11.57;1.71;0.53
167.35;448.28;103.13;40.80;15.07;55.42;11.01;5.83;169.48;451.38;100.42;40.04;4.92;11.06;2.15;0.66
171.81;457.45;94.48;40.28;17.87;46.68;7.48;5.05;168.72;454.39;99.54;40.26;3.94;10.01;3.45;0.45
174.07;445.18;103.36;40.51;15.35;44.65;8.05;5.77;169.21;453.63;100.43;40.32;4.50;10.64;3.80;0.46
167.36;429.59;101.87;40.76;14.87;42.26;8.45;5.53;170.19;445.42;100.33;40.56;2.91;10.06;3.74;0.22
169.94;449.17;98.52;38.36;13.65;42.35;10.50;4.80;170.11;445.93;100.27;40.14;2.91;10.20;3.77;1.02
187.47;451.57;121.26;40.42;15.25;41.80;14.16;6.00;174.13;446.59;103.90;40.07;7.85;10.49;10.29;0.97
194.61;443.19;125.73;40.11;14.62;52.08;10.31;5.12;178.69;443.74;110.15;40.03;11.80;8.57;12.41;0.96
180.61;449.19;105.24;40.04;16.51;63.89;14.66;5.10;180.00;444.54;110.52;39.94;11.52;8.92;12.18;0.93
169.76;444.32;96.88;40.13;16.62;63.00;10.94;5.24;180.48;447.49;109.53;39.81;10.89;3.57;13.23;0.82
172.08;457.02;100.03;40.62;13.56;57.93;9.84;4.79;180.91;449.06;109.83;40.26;10.41;5.63;12.93;0.25
167.45;449.29;98.36;39.74;15.61;41.21;7.03;4.71;176.90;448.60;105.25;40.13;11.08;5.46;11.88;0.32
172.13;458.27;98.87;39.65;14.16;51.19;7.67;5.26;172.41;451.62;99.88;40.03;4.98;5.87;3.20;0.38
194.70;453.93;99.26;40.55;17.70;42.28;9.16;4.94;175.22;452.56;98.68;40.14;11.06;5.76;1.18;0.45
