principal component 1;principal component 2;model;age;Risk
-5.671308109;-0.186284347;model2;14;high
2.945736654;-4.964226206;model2;14;high
-11.02569705;-2.794993149;model2;14;high
-29.1803331;7.972768753;model2;14;high
-26.37031582;5.671091565;model2;14;high
-9.636001269;-4.503541955;model2;14;high
-4.142214272;-8.638140953;model2;14;high
-16.15147737;-1.575041962;model2;14;high
-7.46635638;-5.075013984;model2;14;high
-10.44146406;-4.953191659;model2;14;high
-11.451247;-4.274100885;model2;14;high
18.38068872;43.87356139;model2;14;intermediate
20.41262533;42.7356631;model2;14;intermediate
12.61496033;38.51303701;model2;14;intermediate
-4.799591303;7.720256988;model2;14;intermediate
-6.470064939;-8.486318812;model2;14;intermediate
-5.227226389;-7.822504478;model2;14;intermediate
-8.202432143;-6.332083722;model2;14;intermediate
-7.725270918;-6.568700627;model2;14;intermediate
-12.22932704;-3.156747967;model2;14;intermediate
-7.593329283;-6.451024216;model2;14;intermediate
-17.63041914;-1.729718311;model2;14;intermediate
-11.84443505;-5.942669362;model2;14;intermediate
-9.362802449;-7.175748174;model2;14;intermediate
57.75809679;-15.70253479;model2;14;intermediate
94.72605798;-11.15987348;model2;14;high
56.69062647;17.98035562;model2;14;high
8.770442813;46.2436948;model2;14;high
13.32073896;43.90068002;model2;14;high
11.10885496;34.391755;model2;14;high
1.069858552;6.939799645;model2;14;high
-10.77579432;-6.761613775;model2;14;high
-4.399375919;-8.525863736;model2;14;high
-13.41277179;-2.703796379;model2;14;high
-3.515430913;-7.130198072;model2;14;high
-7.172358499;-4.87416585;model2;14;high
-14.316808;-0.669499397;model2;14;high
2.434538351;-8.848516809;model2;14;high
-1.122453848;-5.161514536;model2;14;high
-25.89618444;10.98921388;model2;14;high
1.334550029;-4.282583512;model2;14;high
4.794733378;30.3365442;model1;14;intermediate
-4.965626394;35.68195027;model1;14;intermediate
1.20228324;19.10447297;model1;14;intermediate
8.781750455;-6.198633142;model1;14;intermediate
-7.408543289;-2.429052561;model1;14;intermediate
-8.890485582;-0.982940649;model1;14;intermediate
-10.30113972;-0.327666151;model1;14;intermediate
-4.498678094;-2.588787368;model1;14;intermediate
-15.02958896;-4.462010226;model1;14;intermediate
-18.39887254;-3.770933943;model1;14;intermediate
-4.134999056;-8.655541223;model1;14;intermediate
-9.969998541;-5.769075023;model1;14;intermediate
-13.61669266;-4.326936693;model1;14;intermediate
-5.90707943;-6.880640185;model1;14;intermediate
-3.897650946;-6.940277891;model1;14;high
1.893610973;-8.4623106;model1;14;high
-2.901223531;-5.153719805;model1;14;high
-20.29645476;6.413024014;model1;14;high
1.151893865;-4.469608353;model1;14;high
20.58419563;-8.81012879;model1;14;high
60.63852821;-11.40106694;model1;14;high
86.74228184;-6.578834166;model1;14;high
19.2299561;32.11348487;model1;14;high
7.556432397;39.9655173;model1;14;high
21.33746451;28.78833281;model1;14;high
5.485402684;25.70890274;model1;14;high
-20.7776762;3.854511659;model1;14;high
-8.787266462;-4.916867086;model1;14;high
-7.223990945;-4.582410095;model1;14;high
-13.12279547;-4.924683612;model1;14;high
26.92392838;34.2302985;model1;14;low
36.03518893;28.74375073;model1;14;low
28.02925476;25.07448467;model1;14;low
-6.723579039;11.45233644;model1;14;low
-5.924492658;5.147744926;model1;14;low
-16.92481541;9.852109198;model1;14;low
-20.06798353;3.903827925;model1;14;low
-2.411851491;-10.38729099;model1;14;low
-24.56772523;2.162611243;model1;14;low
-6.582300399;-6.797390758;model1;14;low
-24.77828749;4.054846842;model1;14;low
-14.46373416;-1.182804301;model1;14;low
-23.87003776;-2.22933112;model1;14;low
-20.65588784;-3.058117266;model1;14;low
-10.04256941;-10.23955587;model1;14;intermediate
-1.247342245;-9.622687021;model1;14;intermediate
-3.054499737;-5.501435634;model1;14;intermediate
13.6618594;-9.410015558;model1;14;intermediate
-3.397900285;1.239186092;model1;14;intermediate
7.303172058;-3.929347025;model1;14;intermediate
-2.52072378;2.258305551;model1;14;intermediate
5.345392132;-2.24232343;model1;14;intermediate
2.240732291;-4.973005227;model1;14;intermediate
-6.380705006;0.150689218;model1;14;intermediate
-10.45390298;0.328617203;model1;14;intermediate
-5.218296192;-2.857966692;model1;14;intermediate
-4.200153241;-5.809249776;model1;14;intermediate
-11.74219754;-5.263772103;model1;14;intermediate
-19.46176893;0.119425265;model1;14;intermediate
0.529000583;-8.165862074;model1;14;high
-9.756276363;-2.744271426;model1;14;high
-15.75109882;-0.772995943;model1;14;high
-0.141227599;-7.201671344;model1;14;high
-7.461017748;-1.923450899;model1;14;high
-16.47083516;-0.606139123;model1;14;high
-10.2479049;-4.016044191;model1;14;high
-23.27918536;3.954249948;model1;14;high
11.09057872;-11.33143893;model1;14;high
-10.47412325;0.664571874;model1;14;high
-10.54935937;1.195056659;model1;14;high
-20.96267482;6.656717495;model1;14;high
10.08682087;-5.884773639;model1;14;high
-14.34186899;0.833915049;model1;14;high
2.656586983;-5.11992426;model1;14;high
12.95285279;-6.326213926;model1;14;high
-4.274636279;-0.838265678;model1;17;intermediate
-1.844221046;-0.681725208;model1;17;intermediate
-23.05267443;5.815373432;model1;17;intermediate
13.05208326;-8.270258382;model1;17;intermediate
1.058328136;-1.419417862;model1;17;intermediate
3.511205279;-2.031630252;model1;17;intermediate
-1.168248821;0.159465661;model1;17;intermediate
9.8299707;-5.504081161;model1;17;intermediate
-16.13008608;7.881419202;model1;17;intermediate
-1.347819615;-1.497261064;model1;17;intermediate
38.69621438;-11.19704712;model1;17;intermediate
95.42153604;-13.62141901;model1;17;intermediate
45.49723521;18.93183719;model1;17;intermediate
19.28942694;33.72890111;model1;17;intermediate
19.14440969;33.9170578;model1;17;high
27.05110925;25.19704374;model1;17;high
3.796005878;4.159058739;model1;17;high
-0.419998073;-4.087177156;model1;17;high
-23.0632029;12.18787151;model1;17;high
-8.832901615;2.67915368;model1;17;high
-12.44632443;-1.234989647;model1;17;high
11.43899526;-9.832746564;model1;17;high
0.732037145;-3.153836142;model1;17;high
14.79052175;-6.625187036;model1;17;high
-3.471925868;5.016718739;model1;17;high
1.911171364;0.705522199;model1;17;high
3.949761786;-2.73301848;model1;17;high
74.77870403;-15.15899438;model1;17;high
68.22092556;0.08690896;model1;17;high
45.43245365;16.66704305;model1;17;high
1.011294776;-5.245271232;model1;20;low
-3.82335736;-5.613918443;model1;20;low
-4.713526897;-3.472260196;model1;20;low
8.6484025;-7.863219317;model1;20;low
-14.95585347;5.625286501;model1;20;low
7.209351001;-5.650297424;model1;20;low
9.06111518;-3.891665878;model1;20;low
7.316490932;-2.40222962;model1;20;low
-0.887445092;1.103355062;model1;20;low
-1.489090657;-0.882509456;model1;20;low
-15.6936827;7.364942998;model1;20;low
-2.425992998;-4.005271761;model1;20;low
-18.98486199;2.045396877;model1;20;intermediate
9.803432192;-9.265241784;model1;20;intermediate
-11.75127525;1.953773201;model1;20;intermediate
3.352031037;-4.432792448;model1;20;intermediate
-0.016977119;-1.795869044;model1;20;intermediate
-4.44214585;0.386469894;model1;20;intermediate
-4.579513507;-4.339054737;model1;20;intermediate
11.53852233;-8.723458013;model1;20;intermediate
-0.362998598;-2.835015727;model1;20;intermediate
-8.437947851;1.952402594;model1;20;intermediate
-16.23619776;6.47990845;model1;20;intermediate
-4.204658954;-0.34033688;model1;20;intermediate
-10.23619342;-4.387649637;model1;20;intermediate
-2.29770547;-8.828654347;model1;20;intermediate
-14.97152659;-1.596374716;model1;20;intermediate
-11.41899975;-3.202573298;model1;20;high
-16.91351672;-1.511974961;model1;20;high
-13.61615694;-3.784138286;model1;20;high
-4.640695431;-10.03986483;model1;20;high
-12.85843564;-5.111321446;model1;20;high
-18.79417946;-1.366216379;model1;20;high
-15.88222213;-2.53464337;model1;20;high
13.69103157;-10.65798999;model1;20;high
-11.19690744;2.223997377;model1;20;high
-4.020152728;-1.111027148;model1;20;high
-16.02876954;5.414225826;model1;20;high
0.55878981;-2.098673448;model1;20;high
-10.22401108;-4.234260903;model1;20;high
-0.462522221;-7.198856168;model1;20;high
-12.38908143;-0.833137591;model1;20;high
-16.22596026;1.262266037;model1;20;high
7.970167109;-4.805696513;model1;20;low
2.17462203;-0.201002549;model1;20;low
-2.659005715;1.154537178;model1;20;low
2.302041247;-3.755905974;model1;20;low
-6.570434272;-0.155727481;model1;20;low
-7.944393287;-3.576154536;model1;20;low
-11.00080904;-2.616118563;model1;20;low
-1.14593271;-7.505414622;model1;20;low
-11.65048291;-3.271305595;model1;20;low
-4.256439739;-6.623310861;model1;20;low
-7.217602595;-4.566378509;model1;20;low
-0.005665129;-7.140907074;model1;20;low
-3.258012582;-5.698362866;model1;20;low
-17.13282885;3.829286681;model1;20;low
-3.507701932;-4.900501111;model1;20;low
55.76942796;-14.57612058;model1;20;low
86.88905794;-9.429943703;model1;20;low
57.23348666;14.64915292;model1;20;low
12.70273341;40.70585359;model1;20;low
46.28386579;22.87299097;model1;20;low
88.39348596;2.031429779;model1;20;low
90.6196601;-0.036470399;model1;20;low
17.12636059;41.12816187;model1;20;low
34.3363559;30.61878049;model1;20;low
40.48781181;26.32650669;model1;20;low
8.675490977;28.70914774;model1;20;low
1.694340992;2.616257383;model1;20;low
-2.3003708;4.952469112;model1;20;low
20.36831796;-6.279544921;model1;20;low
-8.321610921;3.9178405;model1;20;intermediate
13.71243566;-4.72138255;model1;20;intermediate
-6.308467411;5.871328844;model1;20;intermediate
-0.627162052;3.737910154;model1;20;intermediate
5.687499211;-5.426687127;model1;20;intermediate
6.068572535;-4.066778594;model1;20;intermediate
-2.737808895;-2.129225928;model1;20;intermediate
-3.809793536;-2.052425796;model1;20;intermediate
9.545139091;-7.247411853;model1;20;intermediate
18.94121178;-7.906002498;model1;20;intermediate
11.35218376;-2.593562797;model1;20;intermediate
7.539386562;-0.308128151;model1;20;intermediate
0.418025895;3.41630141;model1;20;intermediate
2.248471791;1.423149197;model1;20;intermediate
-7.039229587;0.936674141;model1;20;intermediate
-8.496991492;-2.416748381;model1;20;high
5.089732378;-9.120636819;model1;20;high
-0.59469645;-4.55942772;model1;20;high
-5.435354103;-2.49631464;model1;20;high
-7.258443897;-1.463321839;model1;20;high
15.57291915;-8.871368736;model1;20;high
4.046736879;-3.01069208;model1;20;high
-13.88883667;9.247632544;model1;20;high
-11.38408658;6.27325786;model1;20;high
-13.26734379;6.615570515;model1;20;high
-13.35837856;-3.152942362;model1;20;high
-14.18959201;-8.714488361;model1;20;high
-30.67006725;2.478034003;model1;20;high
-17.55559444;-5.885776301;model1;20;high
2.747780029;-10.01608945;model1;20;high
-11.29111948;-1.828337114;model1;20;high
-0.342736685;-0.560869312;model4;16;intermediate
-6.744880546;-1.154350795;model4;16;intermediate
0.516463603;-5.20980858;model4;16;intermediate
16.85256645;-9.115056474;model4;16;intermediate
-8.227402948;4.747644462;model4;16;intermediate
-16.41541453;9.567166361;model4;16;intermediate
-6.552300521;3.296589485;model4;16;intermediate
-6.61932391;1.400220774;model4;16;intermediate
-4.017985374;-8.62788549;model4;16;intermediate
-15.42663081;-2.204901514;model4;16;intermediate
-6.529638103;-7.194751376;model4;16;intermediate
-1.916297129;-7.439930602;model4;16;intermediate
0.726016795;-6.748985591;model4;16;intermediate
-11.01368794;-0.52215152;model4;16;intermediate
-13.65916332;0.564741409;model4;16;high
1.71300682;-6.394244317;model4;16;high
-16.8708439;2.739671971;model4;16;high
-11.50342788;-3.837070668;model4;16;high
-5.679578026;-5.861783083;model4;16;high
2.155168484;-7.126654147;model4;16;high
1.163024337;-6.332244838;model4;16;high
-20.03198819;6.740499468;model4;16;high
-10.66742847;0.99956308;model4;16;high
10.11781104;-7.102848594;model4;16;high
7.593804501;-4.512472634;model4;16;high
7.994074932;-4.036501662;model4;16;high
-0.167354419;0.703021801;model4;16;high
65.41327002;-13.18071729;model4;16;high
89.06304548;-7.039648196;model4;16;high
38.28099216;23.86156655;model4;16;high
-0.910842386;-1.45044659;model3;3;low
3.838493409;-2.94380816;model3;3;low
-2.150548156;0.793941352;model3;3;low
-11.32118789;4.997494726;model3;3;low
-7.475502722;-3.031708201;model3;3;low
-22.82867318;5.726941186;model3;3;low
-4.841407518;-6.981339123;model3;3;low
-0.471720863;-7.851118057;model3;3;low
-13.28796166;0.259837713;model3;3;low
-12.86611469;-0.494566862;model3;3;low
4.731381138;-8.049910761;model3;3;low
-4.415547634;-2.600957559;model3;3;low
-12.82065354;0.111701234;model3;3;low
-8.641091292;-2.438449048;model3;3;low
-7.770985894;-3.083736846;model3;3;low
-1.50378687;-8.404558994;model3;3;low
-13.76705682;-2.470685511;model3;3;low
-14.74141576;-2.776702572;model3;3;low
-12.41856128;-3.746791263;model3;3;low
-4.803832489;-7.124893274;model3;3;low
-16.38151087;-4.138838481;model3;3;low
-3.826501193;-8.172162069;model3;3;low
-18.4233624;0.346145023;model3;3;low
-11.56727946;-3.958003111;model3;3;low
1.733470604;-8.849084213;model3;3;low
-9.1918484;-1.674808772;model3;3;low
-14.00269701;-0.916731846;model3;3;low
0.164248445;-7.08181009;model3;3;low
8.90561648;-7.301683729;model3;3;low
7.039646177;-5.350094903;model3;3;low
-1.685633276;0.173635458;model3;3;low
-8.787773384;2.926915606;model3;3;low
3.748669716;-3.684185818;model3;3;low
11.07247018;-7.053959629;model3;3;low
21.49918899;-8.066553988;model3;3;low
83.33312041;-14.90306253;model3;3;low
80.18613504;0.532786994;model3;3;low
18.14884737;39.34805554;model3;3;low
0.906971282;49.45921015;model3;3;low
104.3087864;4.124254406;model3;3;low
104.0056004;5.098244929;model3;3;low
50.5214216;30.07604446;model3;3;low
12.00511441;53.52537378;model3;3;low
48.43581288;32.43274551;model3;3;low
22.28483493;29.04779923;model3;3;low
-11.39190195;17.61522531;model3;3;low
-0.755835585;3.028031478;model3;3;low
-10.96321417;9.281493189;model3;3;low
-8.465403612;-3.275298847;model3;3;low
-4.712855332;-7.635921701;model3;3;low
-6.471707552;-6.268090187;model3;3;low
-25.33793669;4.505825031;model3;3;low
-11.54866693;-3.011485156;model3;3;low
-1.255704461;-6.538083051;model3;3;low
82.77660825;-18.56232986;model3;3;low
92.15606927;-2.992847742;model3;3;low
13.34013089;44.54405433;model3;3;low
17.16159937;42.09366949;model3;3;low
27.55923312;36.34918624;model3;3;low
25.96939503;18.06214179;model3;3;low
7.174883994;-4.680807851;model3;3;low
10.94926029;-5.234802735;model3;3;intermediate
-7.282509605;6.710662793;model3;3;intermediate
-0.049235278;1.907798394;model3;3;intermediate
-14.62484612;6.340422251;model3;3;intermediate
-10.83512897;0.28248001;model3;3;intermediate
0.296967616;-9.380053021;model3;3;intermediate
-31.71886349;10.98184422;model3;3;intermediate
-17.02099524;-0.318415348;model3;3;intermediate
-19.95962547;1.657629398;model3;3;intermediate
-4.675017458;-5.877342356;model3;3;intermediate
10.37974825;-10.68182887;model3;3;intermediate
1.6292482;-2.62252677;model3;3;intermediate
-1.17568543;-0.388496868;model3;3;intermediate
8.419746914;-4.957402228;model3;3;intermediate
-16.53507311;11.86039606;model3;3;intermediate
3.584442894;-4.634308514;model3;3;high
0.831032875;-1.832019174;model3;3;high
-3.553976532;-0.07238532;model3;3;high
-9.159109213;-0.195735515;model3;3;high
0.45481421;-6.043743401;model3;3;high
3.169642753;-7.425649019;model3;3;high
-6.336052902;-2.852235375;model3;3;high
0.338771591;-5.508941063;model3;3;high
-11.16851032;1.801410597;model3;3;high
-8.630017003;-1.069342175;model3;3;high
-9.521826325;-4.232865916;model3;3;high
-30.49711479;9.516025209;model3;3;high
-9.358582774;-6.052162584;model3;3;high
-29.31583233;4.005584048;model3;3;high
1.016599899;-9.232865111;model3;3;high
-0.038365452;-5.00325318;model3;3;high
-3.192445151;1.936764622;model4;1;low
2.05116481;-2.062267373;model4;1;low
28.43387736;-10.36820424;model4;1;low
81.24569866;-14.09567945;model4;1;low
51.2394998;9.681033717;model4;1;low
-3.621268149;43.46675942;model4;1;low
15.46716925;31.28848561;model4;1;low
-4.323600618;38.08274935;model4;1;low
7.401609459;4.288447145;model4;1;low
-27.48824995;5.780285281;model4;1;low
-5.788619298;-4.359642376;model4;1;low
-18.24163495;0.583401724;model4;1;low
-12.46327572;-1.052315432;model4;1;low
-25.23530674;0.120290135;model4;1;low
-11.57802068;-6.108309522;model4;1;low
-16.74436079;-6.406366075;model4;1;low
-20.80049785;-4.073799028;model4;1;low
-14.65602431;-7.969838753;model4;1;low
10.44111525;-11.42209466;model4;1;low
-0.602127038;-2.940427735;model4;1;low
14.39570434;-6.193092314;model4;1;low
4.35353236;-0.416134936;model4;1;low
0.370170823;0.998982912;model4;1;low
9.962550409;-5.747064499;model4;1;low
11.50058658;-4.891878379;model4;1;low
-6.494630004;3.028275804;model4;1;low
-4.451277353;1.763611718;model4;1;low
-4.715999307;1.045111813;model4;1;low
-11.55799707;0.88786065;model4;1;low
-20.12269707;-1.377003353;model4;1;low
-2.308688582;-8.991752496;model4;1;low
-3.940791128;-5.782386518;model4;1;low
-1.588080236;-6.27194353;model4;1;low
-7.592948183;-2.837896614;model4;1;low
1.206132989;-7.1365701;model4;1;low
-7.023827543;-4.275047364;model4;1;low
-20.3010427;5.28069915;model4;1;low
-7.642721324;-3.003673084;model4;1;low
2.516174104;-6.755580881;model4;1;low
1.402944862;-5.690751816;model4;1;low
16.39086575;-8.451517791;model4;1;low
4.915122479;-0.8397827;model4;1;intermediate
-14.14629049;11.46427697;model4;1;intermediate
-16.51555372;10.80891665;model4;1;intermediate
-0.051503002;0.124845754;model4;1;intermediate
-2.551796717;-5.357081745;model4;1;intermediate
-5.641833201;-5.40884176;model4;1;intermediate
14.92981407;-9.017135259;model4;1;intermediate
2.677717456;-1.69057831;model4;1;intermediate
13.7879852;-5.951180613;model4;1;intermediate
0.070306181;2.741011883;model4;1;intermediate
-7.741574673;7.211475312;model4;1;intermediate
7.786347343;-4.770361787;model4;1;intermediate
-27.31831397;18.29636444;model4;1;intermediate
-1.341418674;-2.868043473;model4;1;intermediate
7.665551689;-4.875792898;model4;1;intermediate
-13.53710356;7.713916599;model4;1;high
-10.92074793;1.774594139;model4;1;high
-6.791434579;-1.881352781;model4;1;high
4.198007528;-6.33255941;model4;1;high
-17.59457126;1.179352509;model4;1;high
-27.07921618;7.494961882;model4;1;high
-1.824118604;-4.94093796;model4;1;high
14.00600646;-7.468202693;model4;1;high
64.44856579;-14.43252975;model4;1;high
42.44659633;5.796637749;model4;1;high
16.00687011;20.4635874;model4;1;high
-6.113009939;34.18153894;model4;1;high
7.684567894;24.44698581;model4;1;high
57.18854392;-8.98311476;model4;1;high
95.68527323;-11.47462269;model4;1;high
31.5011863;28.85764145;model4;1;high
14.69039049;32.59441315;model4;1;low
26.43350107;26.1559635;model4;1;low
24.49279633;26.70690985;model4;1;low
-4.354546068;19.83230366;model4;1;low
-20.82243453;8.891273423;model4;1;low
-12.20052269;2.373890804;model4;1;low
1.78244318;-7.272195681;model4;1;low
-7.112282062;-4.841343315;model4;1;low
1.219062119;-6.269593107;model4;1;low
6.792861625;-6.87131443;model4;1;low
-14.05123748;5.56087544;model4;1;low
-22.5938214;10.06205337;model4;1;low
-6.076341126;-0.283538793;model4;1;low
6.802650629;-6.454403214;model4;1;low
2.4674228;-5.458406839;model4;1;low
-14.45865362;4.151177741;model4;1;low
-10.45974304;1.815315359;model4;1;low
-5.075125285;-1.244764436;model4;1;low
-8.953085732;-4.165554201;model4;1;low
4.348428117;-9.676680321;model4;1;low
10.79378384;-8.520150818;model4;1;low
8.047880116;-4.704821093;model4;1;low
-12.6240927;8.858713088;model4;1;low
-5.649953287;5.443821736;model4;1;low
-11.58265318;4.851623218;model4;1;low
-16.07847078;0.582323929;model4;1;low
6.507102444;-11.73173245;model4;1;low
-20.60858098;4.590155895;model4;1;low
-11.36812977;-1.034256069;model4;1;low
1.391342103;-5.063369492;model4;1;low
-9.343338626;1.275561009;model4;1;low
-15.48822319;-1.991590626;model4;1;low
-1.914300123;-7.104312873;model4;1;low
80.34667598;-17.84731301;model4;1;low
68.81963783;1.66098156;model4;1;low
41.4791528;21.08272091;model4;1;low
18.22951121;33.87123922;model4;1;low
18.90493849;34.02219218;model4;1;low
1.822247107;22.98908923;model4;1;low
-3.811038166;4.187856128;model4;1;low
-0.61362435;-8.176206747;model4;1;low
-3.544294391;-6.432910224;model4;1;low
-4.571901639;-5.029254391;model4;1;low
7.555628438;-8.511060615;model4;1;low
22.52267273;-9.203349458;model4;1;low
-4.556445499;6.49320897;model4;1;low
-0.797722145;3.95257199;model4;1;low
6.195930166;0.512611687;model4;1;low
-5.332424727;5.542074663;model4;1;low
4.52655491;-7.653592662;model4;1;low
-0.394483024;-4.096314832;model4;1;low
9.817255458;-7.150407518;model4;1;low
-10.05594668;3.762677216;model4;1;low
16.55205165;-7.139568352;model4;1;low
-10.15585692;8.32265308;model4;1;low
-2.567632439;2.971181273;model4;1;low
-10.21253184;2.915570357;model4;1;low
-8.120644116;1.884724185;model4;1;low
-20.16461981;-3.195455625;model4;1;low
-2.027432372;-9.228578091;model4;1;low
-12.88790447;-3.852485738;model4;1;low
-14.66127222;-3.12179931;model4;1;low
-2.987801922;-7.117803872;model4;1;low
-2.813798462;-6.21813264;model4;1;low
-17.90335078;0.515400615;model4;1;low
-0.787588967;-6.402911256;model4;1;low
-14.1998178;0.910458788;model4;1;low
-18.55287041;1.165703764;model4;1;low
-11.48568984;-5.940457699;model4;1;low
-23.01111155;1.873957912;model4;1;low
-27.39270327;-0.858825008;model4;1;low
-13.77255831;-8.244597093;model4;1;low
-6.256480113;-8.432294081;model4;1;low
-13.60753129;-4.097364683;model4;1;low
6.088878894;-9.3551164;model4;1;low
-3.472572186;-3.142673007;model4;1;low
-11.53975825;1.075770102;model4;1;low
16.57393518;-8.368325716;model4;1;low
10.47472725;-2.915766124;model4;1;low
-4.817884617;3.757904694;model4;1;low
-12.72214331;7.54227214;model4;1;low
7.863346938;-1.69357577;model4;1;low
18.04014022;-7.466068527;model4;1;low
-2.850961478;2.71265287;model4;1;low
-13.41073802;7.984848572;model4;1;low
6.338060804;-1.383549591;model4;1;low
-1.3900468;1.838003953;model4;1;low
3.193531041;-6.652415736;model4;1;low
-6.338748384;-1.247330431;model4;1;low
-7.261111682;-1.157779935;model4;1;low
3.075148919;-7.297514671;model4;1;low
17.87183996;-9.216387029;model4;1;low
-8.443041332;6.007126743;model4;1;low
-2.158730838;2.383531945;model4;1;low
6.022321346;-1.099397851;model4;1;low
-20.18912791;13.97412413;model4;1;low
0.856710266;-5.632802994;model4;1;low
-9.551399326;0.119418094;model4;1;low
-0.90336038;-3.199798413;model4;1;low
-1.211771768;-4.863480618;model4;1;low
-5.309924784;-4.575619488;model4;1;low
-0.547950351;-7.434870994;model4;1;low
-20.10442887;6.808687235;model4;1;low
-0.250192113;-4.18368144;model4;1;low
-9.094054618;-1.989053035;model4;1;intermediate
-5.636405837;-3.353438371;model4;1;intermediate
1.935067245;-7.778023907;model4;1;intermediate
-4.069059084;-3.682848591;model4;1;intermediate
-4.004769393;-4.923489495;model4;1;intermediate
-15.89402989;3.238184423;model4;1;intermediate
-5.675101978;-3.287174616;model4;1;intermediate
-5.795575602;-6.355262676;model4;1;intermediate
-11.43376538;-3.277985902;model4;1;intermediate
-15.77886895;-2.694866286;model4;1;intermediate
-17.54228011;-1.092352591;model4;1;intermediate
18.48550017;-11.74046263;model4;1;intermediate
-2.995985953;0.665300526;model4;1;intermediate
8.554882595;-2.675904376;model4;1;intermediate
-5.904886617;4.926576314;model4;1;intermediate
5.376815199;-0.240985348;model4;1;high
0.444959112;-4.966399722;model4;1;high
2.813050045;-5.363295505;model4;1;high
9.318888461;-7.745631565;model4;1;high
7.032315545;-5.545973284;model4;1;high
-9.845982386;6.682948139;model4;1;high
-2.345033063;1.678720989;model4;1;high
-2.745552558;-0.025333748;model4;1;high
-9.938565058;-1.261345618;model4;1;high
1.657945635;-8.948331616;model4;1;high
-10.09709645;-2.900701138;model4;1;high
-8.163151272;-3.37629804;model4;1;high
-7.017930554;-4.859588011;model4;1;high
-3.400559349;-6.0794566;model4;1;high
-10.62794413;-5.543430463;model4;1;high
-22.90663438;3.529424134;model4;1;high
-1.754760143;-6.887873791;model3;20;low
8.232232992;-7.330028903;model3;20;low
8.183511831;-4.901427783;model3;20;low
0.17155994;-0.32863319;model3;20;low
-12.09269762;6.546928159;model3;20;low
1.919911383;-1.730621934;model3;20;low
-6.752306672;-0.074393242;model3;20;low
1.529543505;-6.859845143;model3;20;low
8.833500662;-8.256077126;model3;20;low
-6.126379442;1.043246121;model3;20;low
3.07158711;-4.280201127;model3;20;low
1.877089737;-3.20059246;model3;20;low
-5.368234848;0.218259179;model3;20;low
-6.84628664;-3.27583958;model3;20;low
2.574807338;-6.876466534;model3;20;low
-18.19313901;5.080028975;model3;20;low
-11.59278604;-1.55097326;model3;20;low
4.479861967;-7.363352521;model3;20;low
6.934013655;-5.611474417;model3;20;low
-10.89905238;2.064316098;model3;20;low
-8.495104328;0.203079567;model3;20;low
4.554344444;-4.713961295;model3;20;low
-22.43253619;9.238526411;model3;20;low
-12.58159445;-1.7867271;model3;20;low
-14.4151231;-0.222220546;model3;20;low
-15.21883118;-1.826606573;model3;20;low
2.915599777;-10.75971148;model3;20;low
4.844902501;-7.457724381;model3;20;low
-20.99193542;8.189281451;model3;20;low
-13.8600083;2.842295166;model3;20;low
-5.417760253;-0.476805077;model3;20;low
-19.25957196;2.324661197;model3;20;low
-5.457102996;-9.187866948;model3;20;low
31.16200362;-12.56702073;model3;20;low
88.18580538;-14.81340577;model3;20;low
78.36268369;4.067852186;model3;20;low
16.44739109;41.12219971;model3;20;low
27.76969487;34.71888845;model3;20;low
27.29653138;32.65991002;model3;20;low
7.972575249;19.72596419;model3;20;low
-4.928893159;-2.029690531;model3;20;low
-0.567822866;-4.996982138;model3;20;low
4.397709362;-7.432605035;model3;20;low
14.71862297;-8.739431373;model3;20;low
3.921045562;-2.067772232;model3;20;low
9.037101611;-3.756178141;model3;20;low
-8.232128841;7.665217362;model3;20;low
-10.33885425;7.190180281;model3;20;low
-8.955697656;-0.465773946;model3;20;low
0.931490235;-6.363632067;model3;20;low
-5.941390245;-5.877344424;model3;20;low
-1.50066364;-6.371177319;model3;20;low
-8.539561972;-2.126403726;model3;20;low
8.324531905;-8.488558891;model3;20;low
0.145460316;-3.372088875;model3;20;low
-15.71145532;6.111889674;model3;20;low
-8.759456884;0.757695534;model3;20;low
17.85201243;-7.949763544;model3;20;low
-3.42471679;1.438264789;model3;20;low
-15.47011284;6.624863455;model3;20;low
2.582121358;-2.029723009;model3;20;low
-7.160132935;4.25482334;model3;20;low
-4.626076577;-5.916282945;model3;20;low
-8.405333728;-3.476653296;model3;20;low
-12.08081513;-2.161606304;model3;20;low
-19.28084023;-1.740468102;model3;20;low
-14.46303377;-4.072122929;model3;20;low
5.663961588;-10.72589456;model3;20;low
15.27591749;-9.046871805;model3;20;low
-10.80304034;6.610283389;model3;20;low
8.983499998;-2.115828321;model3;20;low
-6.524285722;7.340808009;model3;20;low
-0.14088355;0.477223014;model3;20;low
7.999187979;-7.140931897;model3;20;low
1.67539115;-2.904948452;model3;20;low
-15.5037216;5.271249751;model3;20;low
6.502766513;-5.058703553;model3;20;low
-0.92927265;0.157351505;model3;20;low
4.117428934;-4.658351804;model3;20;low
-15.4189772;4.760653058;model3;20;low
-7.978911514;0.340755569;model3;20;low
17.46567284;-9.637150807;model3;20;low
-9.180534963;5.170924565;model3;20;low
-11.56420809;3.452773674;model3;20;low
10.74622026;-4.741495155;model3;20;low
14.87914702;-3.449506456;model3;20;low
3.166837252;-0.559261294;model3;20;low
8.493806693;-2.512044957;model3;20;low
9.906858195;-4.53169292;model3;20;low
-8.958445002;7.801722467;model3;20;low
19.88137078;-7.460616152;model3;20;low
